Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0001","0.0249"
"0.0200","0.0001","0.0249"
"0.0400","0.0001","0.0249"
"0.0600","0.0001","0.0249"
"0.0800","0.0004","0.0249"
"0.1000","0.0004","0.0249"
"0.1200","0.0004","0.0249"
"0.1400","0.0005","0.0249"
"0.1600","0.0008","0.0249"
"0.1800","0.0015","0.0249"
"0.2000","0.0024","0.0249"
"0.2200","0.0037","0.0249"
"0.2400","0.0048","0.0248"
"0.2600","0.0059","0.0248"
"0.2800","0.0067","0.0249"
"0.3000","0.0074","0.0249"
"0.3200","0.0080","0.0249"
"0.3400","0.0085","0.0248"
"0.3600","0.0090","0.0248"
"0.3800","0.0094","0.0248"
"0.4000","0.0099","0.0249"
"0.4200","0.0104","0.0249"
"0.4400","0.0109","0.0249"
"0.4600","0.0113","0.0249"
"0.4800","0.0119","0.0248"
"0.5000","0.0124","0.0248"
"0.5200","0.0129","0.0248"
"0.5400","0.0133","0.0249"
"0.5600","0.0138","0.0249"
"0.5800","0.0144","0.0249"
"0.6000","0.0149","0.0248"
"0.6200","0.0155","0.0248"
"0.6400","0.0159","0.0249"
"0.6600","0.0164","0.0249"
"0.6800","0.0169","0.0249"
"0.7000","0.0174","0.0249"
"0.7200","0.0179","0.0249"
"0.7400","0.0185","0.0249"
"0.7600","0.0190","0.0249"
"0.7800","0.0195","0.0248"
"0.8000","0.0201","0.0249"
"0.8200","0.0205","0.0249"
"0.8400","0.0210","0.0248"
"0.8600","0.0216","0.0248"
"0.8800","0.0221","0.0249"
"0.9000","0.0225","0.0249"
"0.9200","0.0229","0.0249"
"0.9400","0.0234","0.0248"
"0.9600","0.0238","0.0248"
"0.9800","0.0243","0.0248"
"1.0000","0.0249","0.0249"
"1.0200","0.0254","0.0249"
"1.0400","0.0260","0.0249"
"1.0600","0.0266","0.0249"
"1.0800","0.0270","0.0249"
"1.1000","0.0276","0.0249"
"1.1200","0.0281","0.0249"
"1.1400","0.0287","0.0249"
"1.1600","0.0292","0.0249"
"1.1800","0.0298","0.0249"
"1.2000","0.0301","0.0249"
"1.2200","0.0306","0.0249"
"1.2400","0.0312","0.0249"
"1.2600","0.0316","0.0249"
"1.2800","0.0321","0.0249"
"1.3000","0.0326","0.0249"
"1.3200","0.0332","0.0249"
"1.3400","0.0336","0.0249"
"1.3600","0.0341","0.0249"
"1.3800","0.0346","0.0249"
"1.4000","0.0351","0.0248"
"1.4200","0.0354","0.0249"
"1.4400","0.0359","0.0249"
"1.4600","0.0364","0.0249"
"1.4800","0.0368","0.0248"
"1.5000","0.0374","0.0248"
"1.5200","0.0379","0.0248"
"1.5400","0.0385","0.0248"
"1.5600","0.0388","0.0249"
"1.5800","0.0393","0.0249"
"1.6000","0.0398","0.0249"
"1.6200","0.0404","0.0249"
"1.6400","0.0410","0.0249"
"1.6600","0.0416","0.0249"
"1.6800","0.0420","0.0249"
"1.7000","0.0426","0.0249"
"1.7200","0.0431","0.0248"
"1.7400","0.0437","0.0249"
"1.7600","0.0442","0.0249"
"1.7800","0.0446","0.0248"
"1.8000","0.0451","0.0248"
"1.8200","0.0456","0.0249"
"1.8400","0.0459","0.0249"
"1.8600","0.0465","0.0249"
"1.8800","0.0470","0.0249"
"1.9000","0.0476","0.0248"
"1.9200","0.0480","0.0249"
"1.9400","0.0485","0.0249"
"1.9600","0.0491","0.0249"
"1.9800","0.0496","0.0249"
"2.0000","0.0502","0.0249"
"2.0200","0.0506","0.0249"
"2.0400","0.0512","0.0249"
"2.0600","0.0517","0.0249"
"2.0800","0.0522","0.0249"
"2.1000","0.0525","0.0249"
"2.1200","0.0530","0.0249"
"2.1400","0.0535","0.0249"
"2.1600","0.0540","0.0249"
"2.1800","0.0544","0.0249"
"2.2000","0.0549","0.0249"
"2.2200","0.0554","0.0249"
"2.2400","0.0560","0.0249"
"2.2600","0.0564","0.0249"
"2.2800","0.0569","0.0249"
"2.3000","0.0574","0.0249"
"2.3200","0.0578","0.0249"
"2.3400","0.0583","0.0249"
"2.3600","0.0588","0.0249"
"2.3800","0.0594","0.0249"
"2.4000","0.0600","0.0249"
"2.4200","0.0606","0.0249"
"2.4400","0.0610","0.0249"
"2.4600","0.0615","0.0249"
"2.4800","0.0620","0.0249"
"2.5000","0.0625","0.0249"
"2.5200","0.0629","0.0249"
"2.5400","0.0635","0.0249"
"2.5600","0.0640","0.0249"
"2.5800","0.0646","0.0249"
"2.6000","0.0652","0.0249"
"2.6200","0.0656","0.0248"
"2.6400","0.0662","0.0249"
"2.6600","0.0667","0.0249"
"2.6800","0.0672","0.0249"
"2.7000","0.0676","0.0249"
"2.7200","0.0680","0.0249"
"2.7400","0.0685","0.0249"
"2.7600","0.0689","0.0249"
"2.7800","0.0694","0.0249"
"2.8000","0.0699","0.0248"
"2.8200","0.0705","0.0249"
"2.8400","0.0711","0.0248"
"2.8600","0.0715","0.0248"
"2.8800","0.0721","0.0249"
"2.9000","0.0726","0.0249"
"2.9200","0.0732","0.0249"
"2.9400","0.0737","0.0249"
"2.9600","0.0743","0.0249"
"2.9800","0.0747","0.0248"
"3.0000","0.0752","0.0249"
"3.0200","0.0757","0.0249"
"3.0400","0.0761","0.0248"
"3.0600","0.0766","0.0248"
"3.0800","0.0771","0.0249"
"3.1000","0.0776","0.0249"
"3.1200","0.0780","0.0249"
"3.1400","0.0785","0.0248"
"3.1600","0.0790","0.0248"
"3.1800","0.0795","0.0249"
"3.2000","0.0800","0.0249"
"3.2200","0.0805","0.0249"
"3.2400","0.0809","0.0249"
"3.2600","0.0813","0.0249"
"3.2800","0.0818","0.0249"
"3.3000","0.0824","0.0249"
"3.3200","0.0829","0.0248"
"3.3400","0.0835","0.0248"
"3.3600","0.0839","0.0248"
"3.3800","0.0843","0.0249"
"3.4000","0.0848","0.0249"
"3.4200","0.0854","0.0249"
"3.4400","0.0858","0.0249"
"3.4600","0.0865","0.0249"
"3.4800","0.0870","0.0249"
"3.5000","0.0876","0.0249"
"3.5200","0.0882","0.0249"
"3.5400","0.0887","0.0248"
"3.5600","0.0891","0.0248"
"3.5800","0.0897","0.0248"
"3.6000","0.0902","0.0249"
"3.6200","0.0905","0.0249"
"3.6400","0.0910","0.0249"
"3.6600","0.0915","0.0249"
"3.6800","0.0921","0.0248"
"3.7000","0.0926","0.0249"
"3.7200","0.0930","0.0249"
"3.7400","0.0936","0.0249"
"3.7600","0.0942","0.0248"
"3.7800","0.0947","0.0249"
"3.8000","0.0953","0.0248"
