Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0249"
"0.0200","0.0000","0.0249"
"0.0400","0.0000","0.0249"
"0.0600","0.0000","0.0249"
"0.0800","0.0002","0.0249"
"0.1000","0.0002","0.0249"
"0.1200","0.0002","0.0249"
"0.1400","0.0004","0.0249"
"0.1600","0.0008","0.0249"
"0.1800","0.0014","0.0249"
"0.2000","0.0025","0.0249"
"0.2200","0.0038","0.0249"
"0.2400","0.0048","0.0249"
"0.2600","0.0059","0.0249"
"0.2800","0.0066","0.0249"
"0.3000","0.0073","0.0249"
"0.3200","0.0078","0.0249"
"0.3400","0.0084","0.0249"
"0.3600","0.0090","0.0249"
"0.3800","0.0094","0.0250"
"0.4000","0.0100","0.0249"
"0.4200","0.0105","0.0249"
"0.4400","0.0110","0.0249"
"0.4600","0.0115","0.0249"
"0.4800","0.0119","0.0249"
"0.5000","0.0125","0.0249"
"0.5200","0.0130","0.0250"
"0.5400","0.0135","0.0250"
"0.5600","0.0139","0.0250"
"0.5800","0.0144","0.0250"
"0.6000","0.0150","0.0250"
"0.6200","0.0155","0.0249"
"0.6400","0.0159","0.0249"
"0.6600","0.0164","0.0249"
"0.6800","0.0169","0.0249"
"0.7000","0.0174","0.0250"
"0.7200","0.0179","0.0250"
"0.7400","0.0184","0.0250"
"0.7600","0.0188","0.0250"
"0.7800","0.0192","0.0250"
"0.8000","0.0198","0.0250"
"0.8200","0.0203","0.0250"
"0.8400","0.0209","0.0250"
"0.8600","0.0214","0.0250"
"0.8800","0.0220","0.0250"
"0.9000","0.0223","0.0250"
"0.9200","0.0228","0.0250"
"0.9400","0.0234","0.0250"
"0.9600","0.0238","0.0250"
"0.9800","0.0244","0.0250"
"1.0000","0.0250","0.0250"
"1.0200","0.0255","0.0250"
"1.0400","0.0261","0.0250"
"1.0600","0.0266","0.0250"
"1.0800","0.0272","0.0250"
"1.1000","0.0276","0.0250"
"1.1200","0.0282","0.0250"
"1.1400","0.0287","0.0250"
"1.1600","0.0290","0.0250"
"1.1800","0.0295","0.0250"
"1.2000","0.0300","0.0250"
"1.2200","0.0306","0.0250"
"1.2400","0.0310","0.0250"
"1.2600","0.0316","0.0250"
"1.2800","0.0322","0.0250"
"1.3000","0.0327","0.0250"
"1.3200","0.0333","0.0250"
"1.3400","0.0338","0.0250"
"1.3600","0.0342","0.0250"
"1.3800","0.0347","0.0250"
"1.4000","0.0352","0.0250"
"1.4200","0.0357","0.0250"
"1.4400","0.0360","0.0250"
"1.4600","0.0365","0.0250"
"1.4800","0.0370","0.0250"
"1.5000","0.0374","0.0251"
"1.5200","0.0379","0.0251"
"1.5400","0.0384","0.0251"
"1.5600","0.0388","0.0250"
"1.5800","0.0394","0.0250"
"1.6000","0.0399","0.0251"
"1.6200","0.0404","0.0251"
"1.6400","0.0408","0.0251"
"1.6600","0.0413","0.0251"
"1.6800","0.0418","0.0251"
"1.7000","0.0424","0.0251"
"1.7200","0.0429","0.0251"
"1.7400","0.0433","0.0251"
"1.7600","0.0439","0.0251"
"1.7800","0.0444","0.0251"
"1.8000","0.0449","0.0251"
"1.8200","0.0453","0.0251"
"1.8400","0.0458","0.0251"
"1.8600","0.0464","0.0251"
"1.8800","0.0470","0.0251"
"1.9000","0.0475","0.0251"
"1.9200","0.0480","0.0251"
"1.9400","0.0485","0.0251"
"1.9600","0.0491","0.0251"
"1.9800","0.0496","0.0251"
"2.0000","0.0501","0.0251"
"2.0200","0.0505","0.0251"
"2.0400","0.0511","0.0251"
"2.0600","0.0515","0.0251"
"2.0800","0.0519","0.0251"
"2.1000","0.0524","0.0252"
"2.1200","0.0529","0.0252"
"2.1400","0.0535","0.0252"
"2.1600","0.0541","0.0252"
"2.1800","0.0547","0.0252"
"2.2000","0.0551","0.0252"
"2.2200","0.0557","0.0252"
"2.2400","0.0562","0.0252"
"2.2600","0.0568","0.0252"
"2.2800","0.0573","0.0252"
"2.3000","0.0577","0.0252"
"2.3200","0.0582","0.0252"
"2.3400","0.0587","0.0252"
"2.3600","0.0591","0.0252"
"2.3800","0.0596","0.0252"
"2.4000","0.0601","0.0252"
"2.4200","0.0606","0.0252"
"2.4400","0.0612","0.0252"
"2.4600","0.0616","0.0252"
"2.4800","0.0621","0.0252"
"2.5000","0.0626","0.0253"
"2.5200","0.0630","0.0253"
"2.5400","0.0635","0.0253"
"2.5600","0.0640","0.0253"
"2.5800","0.0645","0.0253"
"2.6000","0.0649","0.0253"
"2.6200","0.0654","0.0253"
"2.6400","0.0660","0.0253"
"2.6600","0.0665","0.0253"
"2.6800","0.0669","0.0253"
"2.7000","0.0674","0.0253"
"2.7200","0.0679","0.0253"
"2.7400","0.0684","0.0253"
"2.7600","0.0689","0.0253"
"2.7800","0.0694","0.0253"
"2.8000","0.0700","0.0253"
"2.8200","0.0706","0.0253"
"2.8400","0.0711","0.0253"
"2.8600","0.0717","0.0253"
"2.8800","0.0721","0.0254"
"2.9000","0.0727","0.0254"
"2.9200","0.0732","0.0254"
"2.9400","0.0735","0.0254"
"2.9600","0.0740","0.0254"
"2.9800","0.0745","0.0254"
"3.0000","0.0751","0.0254"
"3.0200","0.0756","0.0254"
"3.0400","0.0761","0.0254"
"3.0600","0.0767","0.0254"
"3.0800","0.0773","0.0254"
"3.1000","0.0778","0.0254"
"3.1200","0.0783","0.0254"
"3.1400","0.0787","0.0254"
"3.1600","0.0792","0.0254"
"3.1800","0.0797","0.0254"
"3.2000","0.0802","0.0254"
"3.2200","0.0806","0.0255"
"3.2400","0.0811","0.0255"
"3.2600","0.0816","0.0255"
"3.2800","0.0820","0.0254"
"3.3000","0.0825","0.0255"
"3.3200","0.0830","0.0255"
"3.3400","0.0835","0.0255"
"3.3600","0.0839","0.0255"
"3.3800","0.0844","0.0255"
"3.4000","0.0850","0.0255"
"3.4200","0.0855","0.0255"
"3.4400","0.0859","0.0255"
"3.4600","0.0864","0.0255"
"3.4800","0.0869","0.0255"
"3.5000","0.0874","0.0255"
"3.5200","0.0880","0.0255"
"3.5400","0.0885","0.0255"
"3.5600","0.0890","0.0255"
"3.5800","0.0895","0.0256"
"3.6000","0.0900","0.0256"
"3.6200","0.0904","0.0256"
"3.6400","0.0909","0.0256"
"3.6600","0.0914","0.0256"
"3.6800","0.0920","0.0256"
"3.7000","0.0926","0.0256"
"3.7200","0.0930","0.0256"
"3.7400","0.0936","0.0256"
"3.7600","0.0941","0.0256"
"3.7800","0.0947","0.0256"
"3.8000","0.0952","0.0256"
"3.8200","0.0956","0.0256"
"3.8400","0.0961","0.0256"
"3.8600","0.0965","0.0256"
"3.8800","0.0969","0.0256"
"3.9000","0.0974","0.0256"
"3.9200","0.0979","0.0257"
"3.9400","0.0985","0.0256"
"3.9600","0.0990","0.0257"
"3.9800","0.0995","0.0257"
"4.0000","0.1000","0.0257"
"4.0200","0.1006","0.0257"
"4.0400","0.1011","0.0257"
"4.0600","0.1016","0.0257"
"4.0800","0.1021","0.0257"
"4.1000","0.1026","0.0257"
"4.1200","0.1032","0.0257"
"4.1400","0.1037","0.0257"
"4.1600","0.1040","0.0257"
"4.1800","0.1045","0.0257"
"4.2000","0.1050","0.0257"
"4.2200","0.1054","0.0257"
"4.2400","0.1059","0.0258"
"4.2600","0.1064","0.0258"
"4.2800","0.1068","0.0258"
"4.3000","0.1074","0.0258"
"4.3200","0.1079","0.0258"
"4.3400","0.1084","0.0258"
"4.3600","0.1088","0.0258"
"4.3800","0.1093","0.0258"
"4.4000","0.1098","0.0258"
"4.4200","0.1104","0.0258"
"4.4400","0.1109","0.0258"
"4.4600","0.1114","0.0258"
"4.4800","0.1119","0.0258"
"4.5000","0.1124","0.0258"
"4.5200","0.1129","0.0258"
"4.5400","0.1133","0.0258"
"4.5600","0.1138","0.0259"
"4.5800","0.1144","0.0259"
"4.6000","0.1150","0.0259"
"4.6200","0.1156","0.0259"
"4.6400","0.1162","0.0259"
"4.6600","0.1166","0.0259"
"4.6800","0.1172","0.0259"
"4.7000","0.1177","0.0259"
"4.7200","0.1182","0.0259"
"4.7400","0.1185","0.0259"
"4.7600","0.1190","0.0259"
"4.7800","0.1195","0.0259"
"4.8000","0.1199","0.0260"
"4.8200","0.1204","0.0260"
"4.8400","0.1210","0.0260"
"4.8600","0.1216","0.0260"
"4.8800","0.1221","0.0260"
"4.9000","0.1227","0.0260"
"4.9200","0.1233","0.0260"
